	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	73.42	108.70	5.29	27.80	74.11	31.42	4.22	117.59	-0.23	28.43	38.90	-12.95	112.13
2	73.41	108.81	5.19	27.60	74.16	31.27	3.68	116.84	-0.42	12.44	43.13	-4.88	111.34
3	73.40	108.89	5.16	27.38	74.17	31.13	3.14	116.67	-0.70	-0.93	47.20	3.18	110.29
4	73.42	108.94	5.20	27.14	74.13	30.97	2.60	116.88	-1.05	-11.71	50.98	11.17	108.98
5	73.45	108.95	5.28	26.88	74.05	30.82	2.06	117.28	-1.43	-20.21	54.34	19.04	107.44
6	73.50	108.93	5.41	26.61	73.93	30.65	1.54	117.66	-1.80	-26.94	57.25	26.78	105.71
7	73.56	108.89	5.56	26.33	73.77	30.48	1.02	117.82	-2.12	-32.59	59.79	34.41	103.86
8	73.64	108.83	5.73	26.03	73.57	30.30	0.51	117.61	-2.36	-38.10	62.13	41.95	101.97
