	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	73.87	108.56	4.50	35.14	92.53	30.93	7.10	88.61	1.32	56.15	52.71	-7.71	130.54
2	73.81	108.70	4.29	34.86	92.53	30.90	6.44	88.16	1.27	20.85	55.35	-0.07	129.38
3	73.77	108.85	4.27	34.57	92.48	30.87	5.78	87.88	1.22	-8.47	57.98	7.78	127.97
4	73.76	109.00	4.40	34.27	92.39	30.83	5.13	87.67	1.18	-29.86	60.47	15.78	126.34
5	73.76	109.15	4.63	33.96	92.26	30.77	4.49	87.46	1.11	-41.91	62.72	23.86	124.48
6	73.78	109.30	4.90	33.63	92.08	30.71	3.86	87.14	1.00	-43.92	64.66	31.93	122.43
7	73.82	109.45	5.15	33.30	91.87	30.64	3.24	86.72	0.83	-36.08	66.30	39.92	120.14
8	73.87	109.61	5.33	32.95	91.62	30.55	2.63	86.26	0.58	-19.42	67.68	47.76	117.60
9	73.92	109.76	5.38	32.61	91.33	30.46	2.03	85.90	0.26	4.33	68.89	55.39	114.75
