	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	73.46	110.10	0.17	38.69	96.99	30.13	7.87	92.52	0.11	96.82	39.47	-11.81	145.76
2	73.25	110.14	-0.43	38.42	97.03	29.89	6.95	92.06	-0.13	62.04	44.30	-2.95	143.89
3	73.08	110.16	-0.79	38.12	97.01	29.66	6.05	91.81	-0.32	31.86	49.62	6.15	141.74
4	72.94	110.16	-0.93	37.78	96.94	29.46	5.16	91.67	-0.41	7.09	55.14	15.48	139.25
5	72.85	110.15	-0.90	37.41	96.80	29.27	4.28	91.70	-0.39	-12.27	60.50	24.99	136.28
6	72.81	110.15	-0.73	37.01	96.61	29.11	3.43	92.12	-0.31	-27.22	65.30	34.54	132.67
7	72.82	110.16	-0.46	36.58	96.35	28.96	2.60	93.15	-0.22	-39.91	69.31	43.99	128.27
8	72.89	110.17	-0.09	36.13	96.03	28.83	1.80	94.93	-0.16	-53.66	72.50	53.18	123.05
