	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	65.91	107.69	-0.51	28.36	79.02	28.65	-2.67	274.17	-21.55	159.97	22.72	14.14	70.49
2	66.29	107.32	-1.29	28.25	78.99	28.50	-2.96	271.08	-23.11	160.31	25.34	19.79	69.20
3	66.67	106.95	-2.07	28.13	78.93	28.33	-3.25	267.30	-24.41	160.91	27.92	25.43	68.24
4	67.04	106.57	-2.85	27.99	78.84	28.13	-3.54	262.85	-25.41	160.95	30.51	31.11	67.61
5	67.42	106.18	-3.62	27.85	78.72	27.92	-3.82	257.79	-26.11	159.66	33.18	36.88	67.29
6	67.78	105.80	-4.38	27.70	78.57	27.68	-4.11	252.15	-26.53	156.43	36.00	42.83	67.23
7	68.14	105.42	-5.10	27.53	78.39	27.43	-4.39	246.03	-26.68	150.83	39.01	49.01	67.38
8	68.47	105.04	-5.79	27.35	78.18	27.16	-4.67	239.49	-26.59	142.68	42.21	55.46	67.64
