	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	74.43	109.40	8.46	36.04	92.87	31.77	6.10	81.90	-0.45	90.19	39.73	-10.78	131.19
2	74.27	110.10	7.65	35.08	92.88	31.09	3.21	77.73	0.71	-11.71	51.90	22.05	126.98
3	74.35	110.53	8.49	33.73	92.10	30.48	0.42	76.42	0.59	-42.15	70.38	55.64	120.37
4	74.60	110.83	9.28	32.03	90.54	29.95	-2.15	82.90	0.31	-13.91	82.79	86.19	106.98
5	74.93	111.00	9.13	30.13	88.27	29.55	-4.33	90.79	0.58	22.10	89.97	113.84	87.61
6	75.21	110.97	8.47	28.06	85.32	29.32	-6.03	94.18	1.65	28.97	99.59	141.02	69.14
7	75.43	110.65	8.01	25.71	81.69	29.10	-7.39	91.47	3.56	10.34	113.66	169.50	58.03
8	75.65	109.98	7.94	23.05	77.33	28.52	-8.55	82.41	5.27	-2.78	126.79	198.35	52.75
9	75.99	109.09	8.15	20.14	72.31	27.21	-9.63	67.35	4.92	-15.73	136.14	224.69	50.26
