	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	65.09	111.38	5.07	27.65	74.45	33.81	1.28	201.96	1.85	-110.10	41.02	-7.47	95.53
2	65.33	111.46	5.73	27.43	74.48	33.62	0.81	194.53	1.69	-95.70	44.70	4.60	92.76
3	65.55	111.55	6.26	27.19	74.44	33.42	0.35	186.73	1.44	-67.80	48.33	16.43	89.90
4	65.75	111.64	6.58	26.92	74.34	33.21	-0.10	178.89	1.10	-29.01	51.94	27.90	86.97
5	65.93	111.72	6.63	26.64	74.18	33.00	-0.53	171.29	0.69	17.02	55.53	38.87	84.01
6	66.09	111.79	6.38	26.34	73.95	32.77	-0.95	164.16	0.22	65.85	58.98	49.25	81.08
7	66.22	111.84	5.83	26.02	73.67	32.54	-1.36	157.66	-0.33	112.83	62.14	58.92	78.23
8	66.34	111.88	5.01	25.69	73.34	32.30	-1.75	151.86	-0.94	153.80	64.88	67.86	75.52
