	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d	Jumper 5.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	68.24	108.47	5.43	28.63	76.11	33.77	4.18	204.58	0.42	-28.16	24.05	-10.51	81.13
2	68.47	108.38	5.72	28.51	76.15	33.69	3.81	199.73	1.83	-79.20	27.42	0.11	79.34
3	68.68	108.28	6.34	28.37	76.13	33.59	3.45	195.08	3.68	-138.16	31.15	10.30	77.68
4	68.89	108.16	7.33	28.21	76.06	33.47	3.10	190.76	6.01	-202.99	35.28	20.02	76.15
5	69.10	108.02	8.71	28.02	75.95	33.34	2.75	186.85	8.87	-270.96	39.72	29.22	74.76
6	69.30	107.85	10.47	27.82	75.80	33.19	2.41	183.42	12.26	-338.85	44.35	37.92	73.47
7	69.50	107.66	12.58	27.59	75.60	33.01	2.08	180.44	16.19	-403.03	48.98	46.12	72.25
8	69.70	107.44	14.99	27.34	75.37	32.82	1.76	177.86	20.60	-459.63	53.46	53.91	71.06
