	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
1	68.47	106.35	6.52	32.38	79.23	32.46	-1.64	263.23	-0.66	-20.73	41.04	47.47	81.00
2	68.63	106.41	6.68	32.18	79.08	32.49	-1.97	259.91	-0.28	-39.92	42.31	55.28	79.03
3	68.79	106.44	6.92	31.98	78.89	32.46	-2.30	255.77	0.08	-53.14	43.85	62.58	77.24
4	68.96	106.47	7.22	31.78	78.66	32.37	-2.63	250.92	0.42	-60.88	45.70	69.35	75.62
5	69.13	106.47	7.54	31.56	78.40	32.22	-2.95	245.48	0.78	-64.09	47.83	75.62	74.15
6	69.30	106.46	7.87	31.33	78.11	32.01	-3.26	239.57	1.15	-64.01	50.20	81.43	72.78
7	69.48	106.44	8.19	31.09	77.79	31.74	-3.58	233.35	1.56	-61.86	52.70	86.83	71.44
8	69.65	106.40	8.49	30.84	77.44	31.42	-3.89	226.94	2.02	-58.72	55.27	91.91	70.07
